experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender,location,salary_currency,salary,bonus_stocks_usd
MI,Data Analytics Manager,145400.0,0.0,,M,Unknown,,,,
MI,Data Analytics Manager,88000.0,0.0,,M,Unknown,,,,
MI,Analytics Engineer,205500.0,0.0,,M,Unknown,,,,
MI,Analytics Engineer,117400.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,148300.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,84700.0,0.0,,M,Unknown,,,,
SE,Data Analyst,105000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,85000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,250900.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,135200.0,0.0,,M,Unknown,,,,
SE,Data Engineer,212000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,93300.0,0.0,,M,Unknown,,,,
SE,Data Scientist,140000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,110000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,270250.0,0.0,,M,Unknown,,,,
SE,Data Engineer,144000.0,0.0,,M,Unknown,,,,
EN,AI Engineer,44444.0,50.0,,L,Unknown,,,,
MI,Data Analyst,138000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,86000.0,0.0,,M,Unknown,,,,
MI,Data Science,106000.0,0.0,,M,Unknown,,,,
MI,Data Science,66000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,128800.0,0.0,,M,Unknown,,,,
SE,Data Analyst,88854.0,0.0,,M,Unknown,,,,
SE,Research Analyst,210000.0,0.0,,M,Unknown,,,,
SE,Research Analyst,180000.0,0.0,,M,Unknown,,,,
MI,Data Science,138000.0,0.0,,M,Unknown,,,,
MI,Data Science,86000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,284400.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,150700.0,0.0,,M,Unknown,,,,
MI,Data Science,276000.0,0.0,,M,Unknown,,,,
MI,Data Science,176000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,179000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,112000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Operations Engineer,160000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Operations Engineer,120000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,145360.0,100.0,,M,Unknown,,,,
SE,Data Engineer,101100.0,100.0,,M,Unknown,,,,
SE,Data Architect,299792.0,0.0,,M,Unknown,,,,
SE,Data Architect,187370.0,0.0,,M,Unknown,,,,
SE,Research Scientist,382320.0,0.0,,M,Unknown,,,,
SE,Research Scientist,302840.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,258800.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,199200.0,0.0,,M,Unknown,,,,
SE,Data Scientist,212000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,93300.0,0.0,,M,Unknown,,,,
SE,Data Engineer,154000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,103000.0,0.0,,M,Unknown,,,,
SE,Analytics Engineer,750000.0,0.0,,M,Unknown,,,,
SE,Analytics Engineer,150000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,144700.0,100.0,,M,Unknown,,,,
SE,Data Analyst,96500.0,100.0,,M,Unknown,,,,
SE,Data Scientist,314100.0,0.0,,M,Unknown,,,,
SE,Data Scientist,169700.0,0.0,,M,Unknown,,,,
EX,Machine Learning Engineer,209700.0,0.0,,M,Unknown,,,,
EX,Machine Learning Engineer,161300.0,0.0,,M,Unknown,,,,
EN,Data Scientist,84000.0,0.0,,M,Unknown,,,,
EN,Data Scientist,58000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,135000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,115000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,153000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,143000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,200000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,160000.0,0.0,,M,Unknown,,,,
EN,Research Scientist,254270.0,0.0,,M,Unknown,,,,
EN,Research Scientist,254270.0,0.0,,M,Unknown,,,,
SE,Data Engineer,240000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,187000.0,0.0,,M,Unknown,,,,
MI,Data Analytics Manager,165000.0,0.0,,M,Unknown,,,,
MI,Data Analytics Manager,108750.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,68750.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,50000.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Engineer,190000.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Engineer,130000.0,0.0,,M,Unknown,,,,
SE,Applied Scientist,285200.0,100.0,,M,Unknown,,,,
SE,Applied Scientist,168600.0,100.0,,M,Unknown,,,,
EN,Data Scientist,61111.0,50.0,,M,Unknown,,,,
EN,Analytics Engineer,66000.0,100.0,,M,Unknown,,,,
MI,Data Engineer,133000.0,0.0,,M,Unknown,,,,
MI,Data Engineer,58400.0,0.0,,M,Unknown,,,,
SE,Data Analyst,163000.0,100.0,,M,Unknown,,,,
SE,Data Analyst,77000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,146000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,78900.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,200000.0,100.0,,L,Unknown,,,,
MI,Machine Learning Engineer,100000.0,100.0,,L,Unknown,,,,
SE,Research Scientist,195500.0,100.0,,M,Unknown,,,,
SE,Research Scientist,141300.0,100.0,,M,Unknown,,,,
MI,Research Engineer,128000.0,0.0,,M,Unknown,,,,
MI,Research Engineer,64000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,85600.0,0.0,,M,Unknown,,,,
MI,Data Scientist,44266.0,0.0,,M,Unknown,,,,
MI,Data Engineer,60000.0,0.0,,M,Unknown,,,,
MI,Data Engineer,46500.0,0.0,,M,Unknown,,,,
EX,Data Engineer,204500.0,0.0,,M,Unknown,,,,
EX,Data Engineer,130000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,81250.0,0.0,,M,Unknown,,,,
SE,Data Scientist,50000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,230000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,149000.0,100.0,,M,Unknown,,,,
SE,Data Scientist,185900.0,0.0,,M,Unknown,,,,
SE,Data Scientist,109400.0,0.0,,M,Unknown,,,,
SE,Data Scientist,145000.0,100.0,,M,Unknown,,,,
SE,Data Scientist,125000.0,100.0,,M,Unknown,,,,
SE,Data Lead,67500.0,0.0,,M,Unknown,,,,
SE,Data Lead,60000.0,0.0,,M,Unknown,,,,
SE,Data Architect,195000.0,0.0,,M,Unknown,,,,
SE,Data Architect,64200.0,0.0,,M,Unknown,,,,
SE,Data Scientist,208500.0,0.0,,M,Unknown,,,,
SE,Data Scientist,165000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,59018.0,0.0,,M,Unknown,,,,
SE,Data Analyst,52806.0,0.0,,M,Unknown,,,,
MI,Data Analytics Manager,124230.0,0.0,,M,Unknown,,,,
MI,Data Analytics Manager,68637.0,0.0,,M,Unknown,,,,
EX,Head of Data,247000.0,0.0,,M,Unknown,,,,
EX,Head of Data,182000.0,0.0,,M,Unknown,,,,
SE,Research Scientist,278700.0,0.0,,M,Unknown,,,,
SE,Research Scientist,159300.0,0.0,,M,Unknown,,,,
SE,Data Engineer,233200.0,0.0,,M,Unknown,,,,
SE,Data Engineer,144200.0,0.0,,M,Unknown,,,,
EX,ML Engineer,238500.0,0.0,,M,Unknown,,,,
EX,ML Engineer,183400.0,0.0,,M,Unknown,,,,
SE,Research Scientist,205500.0,0.0,,M,Unknown,,,,
